Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Manny Leaks,,7.3,5.2,1.1,0.8,0.2,-0.2,NA,NA
Jusuf Nurkić,81.9,7.8,4.7,2,1.6,0.4,NA,NA,NA
Skip Thoren,81.2,7,4.4,1.6,NA,NA,NA,NA,NA
Bob Houbregs,75.4,6.9,4.5,2.8,0.2,NA,NA,NA,NA
Jakob Pöltl,75.2,5.6,5.1,1.6,NA,NA,NA,NA,NA
Fabricio Oberto,74.3,6.1,4.1,1.7,1.1,0.6,0,NA,NA
Gheorghe Mureșan,73.7,8,5.3,4.1,1.3,0.3,-0.1,NA,NA
Bill McGill,73.1,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA
Joel Embiid,72.9,8.7,6.2,1.9,NA,NA,NA,NA,NA
Nikola Peković,67.6,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA
Primož Brezec,66.3,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0
