,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,23,STL,NBA,,7,14,5,6,,,16,,,,5,17
1963-64,24,STL,NBA,,6,,4,5,,,,,,,5,13
1964-65,25,STL,NBA,,6,17,5,8,,,23,4,,,6,15
1965-66,26,STL,NBA,,13,22,6,7,,,20,7,,,6,32
1966-67,27,STL,NBA,,9,22,14,22,,,32,,,,6,26
1967-68,28,STL,NBA,,11,19,6,7,,,14,4,,,5,28
1968-69,29,ATL,NBA,,11,21,8,10,,,22,5,,,6,25
1969-70,30,ATL,NBA,,7,18,4,6,,,25,5,,,6,17
1970-71,31,ATL,NBA,,7,19,2,4,,,36,2,,,4,16
1972-73,33,TOT,NBA,,7,12,8,10,,,14,7,,,6,17
1972-73,33,LAL,NBA,,7,12,8,10,,,14,7,,,6,17
1973-74,34,LAL,NBA,,4,12,3,7,,,8,2,,,4,10
1974-75,35,TOT,NBA,,4,5,1,3,,,11,2,,,3,8
1974-75,35,GSW,NBA,,4,5,1,3,,,11,2,,,3,8
Career,,,,,13,,14,22,,,,,,,6,32
9 Seasons,,"ATL,STL",NBA,,13,,14,22,,,,,,,6,32
2 Seasons,,LAL,NBA,,7,12,8,10,,,14,7,,,6,17
1 Season,,GSW,NBA,,4,5,1,3,,,11,2,,,3,8
