,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,23,STL,NBA,,8,,6,,,,,,,,,18
1963-64,24,STL,NBA,,11,,6,9,,,,,,,,27
1964-65,25,STL,NBA,,11,24,6,9,,,21,,,,,24
1965-66,26,STL,NBA,,12,,11,13,,,,,,,,31
1966-67,27,STL,NBA,,15,,12,14,,,,,,,,35
1967-68,28,STL,NBA,,14,,11,15,,,23,,,,,37
1968-69,29,ATL,NBA,,11,,10,12,,,,,,,,25
1969-70,30,ATL,NBA,,12,,11,17,,,,,,,,30
1970-71,31,ATL,NBA,,11,,9,15,,,,,,,,26
1971-72,32,TOT,NBA,,12,,10,12,,,,,,,,26
1971-72,32,ATL,NBA,,8,,5,7,,,,,,,,21
1971-72,32,PHI,NBA,,12,,10,12,,,,,,,,26
1972-73,33,TOT,NBA,,11,,8,14,,,,,,,,25
1972-73,33,PHI,NBA,,7,18,8,14,,,21,4,,,5,22
1972-73,33,LAL,NBA,,11,,8,9,,,,,,,,25
1973-74,34,LAL,NBA,,10,17,8,8,,,15,6,,,6,28
1974-75,35,TOT,NBA,,7,,3,5,,,10,,,,,15
1974-75,35,LAL,NBA,,7,,3,5,,,10,,,,,15
1974-75,35,GSW,NBA,,4,7,1,3,4,4,8,1,2,0,3,8
Career,,,,,15,,12,,,,,,,,,37
10 Seasons,,"ATL,STL",NBA,,15,,12,,,,,,,,,37
3 Seasons,,LAL,NBA,,11,,8,9,,,,,,,,28
2 Seasons,,PHI,NBA,,12,,10,14,,,,,,,,26
1 Season,,GSW,NBA,,4,7,1,3,4,4,8,1,2,0,3,8
