Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,34,LAL,NBA,PF,65,NA,1812,5.1,12.2,0.421,2.8,3.9,0.707,4.6,7.3,11.8,3.5,1.4,0.7,5.2,13,NA,NA,97
1974-75,35,TOT,NBA,PF,32,NA,415,3.8,10.1,0.376,1.8,3.7,0.5,6.9,7.6,14.5,3.4,1.2,0.5,7,9.4,NA,NA,100
1974-75,35,LAL,NBA,PF,17,NA,307,2.9,8.4,0.351,2.4,4.4,0.533,6.8,7.1,13.8,4,1,0.7,6.8,8.2,NA,NA,101
1974-75,35,GSW,NBA,PF,15,NA,108,6.2,14.9,0.417,0.4,1.7,0.25,7.4,9.1,16.5,1.7,1.7,0,7.9,12.8,NA,NA,97
Career,NA,,NBA,,97,NA,2227,4.9,11.8,0.442,2.6,3.9,0.693,5,7.3,12.3,3.5,1.3,0.7,5.5,12.4,NA,NA,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,82,NA,2119,4.8,11.6,0.447,2.7,4,0.69,4.9,7.2,12.1,3.6,1.3,0.7,5.4,12.3,NA,NA,98
1 season,NA,GSW,NBA,,15,NA,108,6.2,14.9,0.417,0.4,1.7,0.25,7.4,9.1,16.5,1.7,1.7,0,7.9,12.8,NA,NA,97
10 seasons,NA,"STL,ATL",NBA,,0,NA,0,NA,NA,0.436,NA,NA,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,0,NA,0,NA,NA,0.487,NA,NA,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
