Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1962-63,23,STL,NBA,PF,11,204,16.4,0.473,0.281,NA,NA,NA,6.5,NA,NA,NA,0.1,0.4,0.5,0.108,NA,NA,NA,NA,NA
1963-64,24,STL,NBA,PF,12,240,9.4,0.35,0.229,NA,NA,NA,13.8,NA,NA,NA,-0.5,0.1,-0.3,-0.065,NA,NA,NA,NA,NA
1964-65,25,STL,NBA,PF,4,145,13.4,0.396,0.254,NA,NA,NA,8.7,NA,NA,NA,-0.2,0.3,0.1,0.04,NA,NA,NA,NA,NA
1965-66,26,STL,NBA,PF,10,421,17.2,0.537,0.253,NA,NA,NA,9.6,NA,NA,NA,0.8,0.4,1.1,0.131,NA,NA,NA,NA,NA
1966-67,27,STL,NBA,PF,9,369,15.3,0.448,0.523,NA,NA,NA,8.5,NA,NA,NA,0.1,0.4,0.5,0.067,NA,NA,NA,NA,NA
1967-68,28,STL,NBA,PF,6,216,16.6,0.547,0.333,NA,NA,NA,9.8,NA,NA,NA,0.4,0.2,0.6,0.136,NA,NA,NA,NA,NA
1968-69,29,ATL,NBA,PF,11,442,17.8,0.486,0.308,NA,NA,NA,12.2,NA,NA,NA,0.5,0.8,1.3,0.143,NA,NA,NA,NA,NA
1969-70,30,ATL,NBA,PF,9,381,12.1,0.427,0.245,NA,NA,NA,9.1,NA,NA,NA,-0.2,0.7,0.5,0.057,NA,NA,NA,NA,NA
1970-71,31,ATL,NBA,PF,5,229,11.2,0.395,0.155,NA,NA,20.3,2.9,NA,NA,NA,-0.2,0.2,0,0,NA,NA,NA,NA,NA
1972-73,33,LAL,NBA,PF,17,582,10.9,0.482,0.36,NA,NA,12.3,6.6,NA,NA,NA,0.3,0.8,1.1,0.088,NA,NA,NA,NA,NA
1973-74,34,LAL,NBA,PF,5,144,6.3,0.321,0.317,8.4,11.7,9.9,6.1,2.3,0,NA,-0.3,0,-0.2,-0.077,NA,-5.6,-0.6,-6.1,-0.2
1974-75,35,GSW,NBA,PF,14,148,9.8,0.422,0.304,8.7,25.3,16.8,6,2.8,1.6,NA,0,0.3,0.3,0.1,NA,-0.7,1.3,0.6,0.1
Career,NA,,NBA,,113,3521,13.6,0.46,0.307,8.6,18.6,14.3,8.6,2.5,0.8,NA,0.8,4.7,5.4,0.074,NA,-3.1,0.4,-2.7,-0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,"STL,ATL",NBA,,77,2647,14.8,0.464,0.299,NA,NA,20.3,9.3,NA,NA,NA,0.8,3.5,4.3,0.078,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,22,726,10,0.445,0.35,8.4,11.7,11.9,6.5,2.3,0,NA,0,0.8,0.8,0.056,NA,-5.6,-0.6,-6.1,-0.2
1 season,NA,GSW,NBA,,14,148,9.8,0.422,0.304,8.7,25.3,16.8,6,2.8,1.6,NA,0,0.3,0.3,0.1,NA,-0.7,1.3,0.6,0.1
