Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1966-67,27,STL,NBA,PF,1,0,17:00,4,5,0.8,0,2,0,NA,3,3,NA,NA,1,8
1967-68,28,STL,NBA,PF,1,0,21:00,7,9,0.778,1,4,0.25,NA,7,1,NA,NA,4,15
1969-70,30,ATL,NBA,PF,1,0,15:00,2,2,1,1,5,0.2,NA,4,2,NA,NA,1,5
Career,NA,,NBA,,3,0,53,13,16,0.813,2,11,0.182,NA,14,6,NA,NA,6,28
