Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Reggie Williams,,3.7,1.7,0.3,0.3,0.2,0.2,0
Paul Graham,85.4,3.6,1.9,0.2,NA,NA,NA,NA
Stanislav Medvedenko,83.5,3,1.8,0.5,0.4,0.2,0.1,0
Barney Cable,82.2,3.3,1.6,0.7,0.4,0.3,0.1,NA
Dave Lattin,80.9,3.2,2,0.6,0.4,0.2,NA,NA
Tommy Byrnes,79.2,4,1.7,0.9,0.3,-0.2,NA,NA
Juan Hernangómez,76.4,3,1.8,0.4,NA,NA,NA,NA
Harthorne Wingo,75.4,3.9,1.4,0.9,0,NA,NA,NA
Willie Reed,75.3,3.6,1.5,1.2,NA,NA,NA,NA
Dorian Finney-Smith,74.4,3.3,1.4,0.1,NA,NA,NA,NA
Terry Davis,73.3,3.1,2,0.5,0.5,0.5,0.4,-0.1
