Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Hot Rod Hundley,,1.9,1.9,1.3,0.4,0.1,-1.2,NA
Rumeal Robinson,70.7,2.4,1.9,1,0.5,-0.1,-0.6,NA
Nelson Bobb,65.4,2,1.8,1.2,1.1,NA,NA,NA
James Robinson,64.6,2.3,1.9,1.2,0.2,0.2,0,-0.1
Leon Wood,63.4,2.2,2,1.9,0.6,0.3,-0.2,NA
Jonathon Simmons,62.6,2,2,1.9,0.3,NA,NA,NA
Gary Brokaw,61.1,1.9,1.6,1.6,0.1,NA,NA,NA
Tom Garrick,60.8,2.5,1.8,1.4,0.2,NA,NA,NA
Hollis Thompson,60.5,2.6,2,1.2,0.7,NA,NA,NA
Justin Anderson,60.2,1.9,1.2,1.1,0.4,NA,NA,NA
Joe Hassett,60.2,2,1.6,1.4,0.9,0.5,0,NA
