Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Hot Rod Hundley,,1.9,1.9,1.3,0.4,0.1,-1.2
Em Bryant,81.1,2,1.9,1.7,0.5,0.1,-0.7
David Wingate,72.5,2.4,1.9,1.4,0.2,0.1,-0.5
Rumeal Robinson,70.7,2.4,1.9,1,0.5,-0.1,-0.6
James Robinson,66.3,2.3,1.9,1.2,0.2,0.2,-0.1
Nelson Bobb,65.4,2,1.8,1.2,1.1,NA,NA
Leon Wood,63.4,2.2,2,1.9,0.6,0.3,-0.2
Dave Wohl,63.2,2.1,1.7,1.4,1,0.2,0
Jonathon Simmons,62.6,2,2,1.9,0.3,NA,NA
Gary Brokaw,61.1,1.9,1.6,1.6,0.1,NA,NA
Tom Garrick,60.8,2.5,1.8,1.4,0.2,NA,NA
