Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Purvis Short,,6.2,6,5.7,5.4,5.2,5,4.4,3.7,3.3,2.6,2.2,1.4,NA,NA,NA,NA,NA,NA,NA
Rudy Gay,93.3,6.4,6.1,6,5.5,5,4.8,4.4,4,3.8,3.3,3.1,1.8,0.5,NA,NA,NA,NA,NA,NA
Amir Johnson,91.8,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,1.1,0.5,0.2,NA,NA,NA,NA,NA
Larry Smith,89.2,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,1.2,0.3,NA,NA,NA,NA,NA,NA
Caron Butler,89.1,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.4,2.3,2.1,1.8,1.2,0.3,NA,NA,NA,NA,NA
Clarence Weatherspoon,88.2,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6,1.1,NA,NA,NA,NA,NA,NA
Nicolas Batum,88.1,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA
Junior Bridgeman,87.5,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Xavier McDaniel,87.4,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3,1.4,0.7,0,NA,NA,NA,NA,NA,NA,NA
Juwan Howard,87.1,7,6,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,2.6,1.9,0.9,0.7,0.1,0,-0.3
Wayman Tisdale,87.1,7,5.9,5.7,5.6,5.4,4.5,3.4,3.2,2,1.8,1.7,-0.6,NA,NA,NA,NA,NA,NA,NA
