Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Purvis Short,,6.2,6,5.7,5.4,5.2,5,4.4,3.7,3.3,2.6,2.2,1.4
Rudy Gay,94.5,6.4,6.1,6,5.5,5,4.8,4,3.8,3.3,3.1,1.8,0.5
Joe Smith,92.7,6.8,6.3,6.1,5.5,4.7,4.4,4.4,3.7,3,2.8,2.6,2.3
Robert Horry,92.5,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.2,3.6,2.9,2.6,1.7
Marvin Williams,92.3,7.8,6.1,5.7,5.7,5,4.9,4.3,4,2.9,2.8,2.3,2.3
Juwan Howard,91.4,7,6,5.6,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9
Amir Johnson,90.9,7.3,6.3,5.9,5.6,5.1,5,4.5,4,3,2.7,0.5,0.2
Caron Butler,89.9,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.8,1.2
Clarence Weatherspoon,89.1,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6
Eddie Johnson,88.8,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4,3.9,3,1.8
Larry Smith,88.3,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,0.3
