Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Greg Anderson,,3.4,3.4,3,2.3,2.2,2,1.5,0.7,0.4,-0.3,NA,NA
Andrew DeClercq,91.4,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1,NA,NA
Barry Clemens,86.0,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1,NA
J.R. Reid,86.0,3.5,3.4,3,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,NA
Sidney Green,85.1,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA,NA
Matt Bullard,83.1,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1,NA
Omri Casspi,82.7,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,NA,NA
Andrea Bargnani,82.6,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1,NA,NA
Othella Harrington,82.6,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0
Pat Cummings,81.6,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Duane Ferrell,81.4,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2,NA
