,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1961-62,23,CHP,NBA,,10,,6,8,,,6,22
Career,,,,,10,,6,8,,,6,22
