Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jeff Judkins,,3,1.8,0.7,0.6,0.2,NA,NA,NA,NA
Shabazz Napier,90.1,3.2,2,0.6,0.5,0.1,NA,NA,NA,NA
Travis Diener,87.5,2.5,1.9,0.7,0.6,0,NA,NA,NA,NA
Rodney McGruder,85.9,2.9,1.9,0.8,NA,NA,NA,NA,NA,NA
Robert Smith,85.8,2.9,1.4,0.8,0.6,0,0,0,NA,NA
Chris Douglas-Roberts,82.9,2.4,1.6,0.7,0.6,0.1,0,NA,NA,NA
Ralph Johnson,82.6,2.9,1.6,0.8,0,NA,NA,NA,NA,NA
Pete Myers,82.4,3,1.3,0.6,0.5,0.3,0.1,0,0,-0.1
Jordan Crawford,80.0,2.8,1.9,1.1,0.9,0.2,-0.6,NA,NA,NA
Mike Barr,79.6,2.7,1.7,1.4,0.7,0.4,NA,NA,NA,NA
Hollis Thompson,79.6,2.6,2,1.2,0.7,NA,NA,NA,NA,NA
