,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2000-01,19,UTAH,17,95,14,23,0,0,9,18,,31,2,1,2,,,37,.609,,.500,5.6,2.2,1.8,0.1
2001-02,20,UTAH,22,231,17,39,0,0,19,23,,30,2,2,5,,,53,.436,,.826,10.5,2.4,1.4,0.1
2003-04,22,WEBERST,27,694,109,254,3,9,96,129,,163,22,9,2,,,317,.429,.333,.744,25.7,11.7,6.0,0.8
2004-05,23,WEBERST,29,942,185,359,3,5,141,199,,348,49,15,6,,,514,.515,.600,.709,32.5,17.7,12.0,1.7
Career,,,95,1962,325,675,6,14,265,369,,572,75,27,15,,,921,.481,.429,.718,20.7,9.7,6.0,0.8
