,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,23,TOT,NBA,C-PF,46,705,,,4%,37%,59%,-6.6,-7.1,28,16,47,11,30,0,87,6,22
2004-05,23,PHO,NBA,PF,10,57,,,42%,54%,5%,-7.4,-15.2,4,2,4,1,2,0,15,1,1
2004-05,23,NOH,NBA,C,36,648,,,1%,35%,64%,-6.5,+2.2,24,14,43,10,28,0,72,5,21
2005-06,24,NOK,NBA,PF,41,406,,,,86%,14%,+2.4,+6.1,9,4,30,5,20,10,22,2,11
Career,,,NBA,,87,1111,,,3%,55%,43%,-3.3,-2.3,37,20,77,16,50,10,109,8,33
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,"NOH,NOK",NBA,,77,1054,,,1%,55%,45%,-3.1,+3.7,33,18,73,15,48,10,94,7,32
1 season,,PHO,NBA,,10,57,,,42%,54%,5%,-7.4,-15.2,4,2,4,1,2,0,15,1,1
