Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Donnie Butcher,,1.9,1.2,1.1,0.5,-0.3
Justin Anderson,90.9,1.9,1.2,1.1,0.4,NA
Mo Layton,85.2,1.9,1.1,1,0.3,0.1
Sergio Rodríguez,85.1,1.7,1.2,0.9,0.7,-0.2
Mike Davis,84.9,2.2,1.2,0.9,0.6,NA
Raul Neto,82.7,1.8,1.1,0.9,0.7,NA
Steven Kramer,81.7,1.9,1.2,1.1,NA,NA
Dirk Minniefield,81.2,1.9,1.1,1.1,NA,NA
Lloyd Walton,80.8,1.9,1.1,1.1,1.1,0.1
Al Bianchi,77.9,1.8,1.5,0.8,0.8,-0.1
Bo Lamar,77.5,2.5,1.5,1,0.5,NA
