Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rudy Gobert,,14.4,14.3,9.3,8.1,6.4,0.4,NA,NA,NA,NA,NA,NA
Karl-Anthony Towns,81.2,14,12.7,10.4,8.3,NA,NA,NA,NA,NA,NA,NA,NA
Willis Reed,71.5,14.7,14.6,10.6,10,7.9,5.8,5.5,3.6,1.5,0.6,NA,NA
Nikola Jokić,69.5,11.8,10.7,9.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA
Brad Daugherty,69.4,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA,NA,NA,NA
Ed Sadowski,64.7,11.8,10.7,9.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA
Hassan Whiteside,64.0,10.3,9.5,6.3,5.3,5.3,0.2,0,NA,NA,NA,NA,NA
Andre Drummond,63.8,10.3,10,9.9,7.7,7.4,6.7,4.5,NA,NA,NA,NA,NA
Mel Daniels,60.1,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0,NA,NA,NA
Yao Ming,59.9,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,NA,NA,NA,NA
Larry Foust,59.1,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,3.1,3.1,NA
