Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Rudy Gobert,,14.4,14.3,9.3,8.1,6.4,0.4
Willis Reed,90.6,14.7,14.6,10,7.9,5.5,3.6
Moses Malone,89.2,14.1,11.9,10.2,8.7,6.1,1.9
Karl-Anthony Towns,81.2,14,12.7,10.4,8.3,NA,NA
Larry Foust,81.1,13.3,11.1,10.4,7.1,6.3,4.5
Bob Lanier,80.9,14.4,12.4,10.6,10.1,8.4,5.2
Patrick Ewing,80.4,13.5,10.9,10,8.1,3.5,3.1
Shaquille O'Neal,78.4,16.9,14,10.4,10.2,8,6.9
Al Horford,76.1,10.9,10.1,8.8,6.8,5.5,1.3
Brad Daugherty,75.8,11.7,9.6,9,6.6,6,3.1
Dwight Howard,75.4,13.8,13.2,12.9,9.7,8.6,7.3
