Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Drew Barry,,0.3,0.2,0.1,NA,NA
Lance Blanks,86.2,0.4,0.2,0.1,NA,NA
Anthony Roberson,81.9,0.2,0.2,0.1,NA,NA
Randy Woods,76.4,0.3,0.2,0.1,0.1,NA
Jorge Gutiérrez,74.4,0.3,0.3,0.2,NA,NA
Bob Duffy,69.7,0.3,0.1,0.1,NA,NA
Xavier Henry,68.4,0.3,0.2,0.2,0,-0.1
Rusty LaRue,67.0,0.3,0.3,0.1,-0.1,-0.1
Russ Lee,66.5,0.3,0.2,0,NA,NA
Milt Williams,66.1,0.4,0.2,0.1,0.1,NA
Julyan Stone,64.3,0.4,0.3,0.2,0.1,NA
