Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Litterial Green,,0.8,0.8,0.1,0,-0.1
Kris Dunn,86.7,0.9,0.6,0.1,NA,NA
LaBradford Smith,84.7,0.8,0.8,-0.1,NA,NA
Zoran Planinić,82.2,0.8,0.7,0.1,NA,NA
Carlos Terry,81.0,0.8,0.8,-0.1,NA,NA
Mike D'Antoni,79.2,1,0.8,0.3,0,NA
Tony Bennett,79.1,0.9,0.7,0,NA,NA
Phil Rollins,78.2,1.1,0.7,0.1,NA,NA
Charlie Davis,76.7,0.8,0.7,-0.1,NA,NA
Tarence Kinsey,75.6,0.9,0.6,0,NA,NA
Salim Stoudamire,69.9,1.2,0.8,0.3,NA,NA
