Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bobby Rascoe,,4.2,1.9,-0.2,NA
Mel Riebe,92.0,4.2,2.2,0,NA
Bryn Forbes,85.5,3.8,2.1,0.1,NA
Alfred McGuire,81.2,3.4,1.9,0.1,NA
Ron Perry,80.9,4.4,1.4,0.3,NA
Mike Barrett,78.2,4.9,2.7,-0.1,NA
Jim Thomas,77.0,3.5,1.6,0,-0.1
Keith Jennings,75.8,4.2,2.9,0.6,NA
Al Butler,74.5,4.1,2.1,1.1,-0.3
Walt Kirk,74.3,5,2.3,0.4,NA
Earl Tatum,73.9,4.4,2.6,0.7,0
