Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Walter McCarty,,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0,0,-0.2
George Johnson,87.8,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA
Chase Budinger,84.7,3.4,3.1,3,1.4,1.3,0.9,0.7,NA,NA,NA
Jason Caffey,84.6,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,NA,NA
Danny Vranes,83.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA
Toby Kimball,83.6,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0,NA
Don Ford,82.9,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA,NA
Luke Walton,82.0,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4
Lawrence Funderburke,81.6,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA,NA
T.J. Warren,81.6,4.1,3.4,2.2,2.1,1.1,NA,NA,NA,NA,NA
Jarron Collins,80.9,4.2,3.9,3.3,1.3,1.1,1,0.7,0.2,0.1,-0.1
