Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Justin Hamilton,,2.1,1.5,0.1,NA,NA,NA
Irv Rothenberg,82.1,2.3,1.6,-0.2,NA,NA,NA
Henry Sims,79.1,2.1,2.1,0.4,0,NA,NA
Audie Norris,76.1,1.9,1.1,-0.1,NA,NA,NA
Hasheem Thabeet,75.0,2.2,2,0.3,0.3,0,NA
Zendon Hamilton,73.4,1.8,1.1,0.1,0.1,0,0
Pete Cross,70.8,2.6,1.8,-0.2,NA,NA,NA
Joffrey Lauvergne,68.2,2.3,1.5,1.3,0.1,NA,NA
David Harrison,67.4,1.5,1.4,0.4,-0.2,NA,NA
Charlie Tyra,65.9,2.3,1.5,1.1,0.2,-0.2,NA
Gene Conley,64.9,2.8,2.1,0.4,0,0,-0.1
