Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1957-58,26,STL,NBA,NA,4,NA,13,3,8,0.375,1,2,0.5,2,2,3,7
Career,NA,,NBA,NA,4,NA,13,3,8,0.375,1,2,0.5,2,2,3,7
