Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Elmore Spencer,,0.6,0.2,0,-0.1,-0.7
Chris Welp,-42.5,0.7,0.3,0,NA,NA
Greg Kite,-45.0,0.7,0.3,0.1,0.1,0
Jabari Smith,-52.0,0.7,0.5,0.2,0,NA
Stojko Vranković,-53.1,0.9,0.4,0.1,0,-0.1
Kyrylo Fesenko,-53.3,0.6,0.3,0.1,0,-0.1
Žan Tabak,-57.4,1.1,0.2,0.1,0.1,0
Chris Johnson,-58.1,1,0.2,0.2,NA,NA
George Zídek,-60.1,0.6,0.3,0,NA,NA
Luke Witte,-62.4,1,0.1,0.1,NA,NA
Mamadou N'Diaye,-64.1,0.8,0.6,0.3,0.2,0
