Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,23,NYK,BAA,NA,11,NA,NA,0.394,0.25,NA,NA,NA,NA,NA,0.1,0.2,0.3,NA
1949-50,24,NYK,NBA,NA,29,NA,NA,0.335,0.484,NA,NA,NA,NA,NA,-0.2,0.3,0.1,NA
1950-51,25,TOT,NBA,NA,48,NA,NA,0.379,0.302,NA,NA,NA,NA,NA,-0.2,0.7,0.5,NA
1950-51,25,NYK,NBA,NA,6,NA,NA,0.387,0.667,NA,NA,NA,NA,NA,0,0,0,NA
1950-51,25,BLB,NBA,NA,42,NA,NA,0.379,0.297,NA,NA,NA,NA,NA,-0.2,0.7,0.5,NA
Career,NA,,TOT,NA,88,NA,NA,0.373,0.329,NA,NA,NA,NA,NA,-0.3,1.2,0.8,NA
,NA,,NBA,NA,77,NA,NA,0.369,0.341,NA,NA,NA,NA,NA,-0.4,1,0.5,NA
,NA,,BAA,NA,11,NA,NA,0.394,0.25,NA,NA,NA,NA,NA,0.1,0.2,0.3,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,BAA,NA,46,NA,NA,0.36,0.391,NA,NA,NA,NA,NA,-0.1,0.5,0.4,NA
1 season,NA,BLB,NBA,NA,42,NA,NA,0.379,0.297,NA,NA,NA,NA,NA,-0.2,0.7,0.5,NA
