Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,23,NYK,BAA,NA,11,NA,NA,18,48,0.375,6,12,0.5,NA,5,20,42
1949-50,24,NYK,NBA,NA,29,NA,NA,19,64,0.297,14,31,0.452,NA,20,53,52
1950-51,25,TOT,NBA,NA,48,NA,NA,79,235,0.336,44,71,0.62,141,70,118,202
1950-51,25,NYK,NBA,NA,6,NA,NA,1,3,0.333,1,2,0.5,4,4,7,3
1950-51,25,BLB,NBA,NA,42,NA,NA,78,232,0.336,43,69,0.623,137,66,111,199
Career,NA,,TOT,NA,88,NA,NA,116,347,0.334,64,114,0.561,141,95,191,296
,NA,,NBA,NA,77,NA,NA,98,299,0.328,58,102,0.569,141,90,171,254
,NA,,BAA,NA,11,NA,NA,18,48,0.375,6,12,0.5,NA,5,20,42
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,BAA,NA,46,NA,NA,38,115,0.33,21,45,0.467,4,29,80,97
1 season,NA,BLB,NBA,NA,42,NA,NA,78,232,0.336,43,69,0.623,137,66,111,199
