Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kent Bazemore,,4.1,2.2,2.1,1.6,0.7,0.2,0.1
Sonny Hertzberg,92.0,4,2.5,2.3,1.4,0.7,NA,NA
Kevin Ollie,87.8,3.8,2.4,2.4,1.4,0.9,0,-0.1
E'Twaun Moore,87.3,4.4,2.7,1.8,1.7,0.8,0.2,0.2
George Dempsey,86.8,3.5,2.2,2.1,1.5,1.4,NA,NA
Matthew Dellavedova,86.1,3.8,2.1,1.9,1.2,0.5,0.5,NA
Lucious Harris,84.9,4.1,2.8,2.1,1.1,0.8,0.6,0.4
Moochie Norris,84.6,4.4,1.8,1.7,1.7,0.8,-0.1,-0.2
Lee Winfield,84.6,4.5,2.8,2.4,1.6,0.5,0.4,-0.1
Ron Lee,83.7,3.8,2.8,1.6,1.4,0.8,0.3,NA
Toney Douglas,83.6,4.2,2.5,2.4,2.2,0.9,0.2,-0.6
