,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1968-69,23,CHI,NBA,,7,15,3,4,4,3,3,14
1969-70,24,CHI,NBA,,7,13,4,7,4,3,3,14
Career,,,,,7,15,4,7,4,3,3,14
