Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,26,MLH,NBA,SF,7,NA,6.7,0.7,2.7,0.263,0.3,0.3,1,1.4,0.9,1,1.7
Career,NA,,NBA,,7,NA,6.7,0.7,2.7,0.263,0.3,0.3,1,1.4,0.9,1,1.7
