Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Alex Poythress,,0.5,0.3,0.1
Henry James,92.6,0.6,0.3,0.2
Anthony Cook,85.9,0.5,0.4,0.1
Roderick McDonald,82.6,0.5,0.5,0.2
Gene James,82.5,0.5,0.3,0.1
Greg Foster,81.1,0.6,0.5,0.2
Obinna Ekezie,81.0,0.5,0.4,0.2
Mark Randall,80.9,0.5,0.3,0.2
Pape Sow,75.5,0.6,0.2,0.1
Jamie Watson,74.9,0.8,0.3,0.1
Jamal Sampson,73.8,0.5,0.4,0
