Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Corky Calhoun,,3.1,2.5,2.3,2.2,2.1,1.3,1,0
Kevin Restani,89.4,3.5,2.6,2.2,2.1,2,1.8,0.5,0
Robert Traylor,88.8,2.5,2.5,2.4,1.9,1.8,1.2,1,NA
Sidney Green,87.2,3.4,2.7,2.5,2,1.9,1.7,0.6,0.3
Michael Curry,86.0,3.2,2.9,2.3,2,1.7,1.7,1.6,-0.2
Omri Casspi,85.7,3.6,2.7,2.5,2.5,2.4,1.2,0.7,0.5
Brad Lohaus,85.3,3.3,2.7,2.7,1.8,1.5,0.9,0.9,0.1
Don Reid,84.8,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1
Anthony Tolliver,84.3,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0
Mark Bryant,84.2,3.6,3.2,2.3,2.1,2.1,1.6,1.1,1
Darius Songaila,84.2,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0
