Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Corky Calhoun,,3.1,2.5,2.3,2.2,2.1,1.3,1,0,NA,NA,NA,NA
Kevin Restani,89.4,3.5,2.6,2.2,2.1,2,1.8,0.5,0,NA,NA,NA,NA
Robert Traylor,88.8,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA,NA,NA,NA
Don Reid,84.8,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1,NA,NA,NA,NA
Matt Bullard,84.7,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1,NA
Darius Songaila,84.2,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0,NA,NA,NA,NA
Brad Lohaus,83.1,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,NA
Mike Scott,82.3,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA,NA,NA,NA,NA
Duane Ferrell,82.2,3.5,3.2,2.8,1.9,1.9,1.2,1,0.4,0,-0.1,-0.2,NA
Wally Walker,82.1,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1,NA,NA,NA,NA
Earl Cureton,81.2,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,0,-0.1
