Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Greivis Vásquez,,3.8,3.6,2.8,2.3,0.5,0,-0.3
T.J. McConnell,89.0,3.8,3.8,2.9,1.9,NA,NA,NA
Eric Money,85.4,4.2,3.6,3.3,2.7,0.6,0.3,NA
Andre Roberson,85.3,4.2,3.4,2.2,2.1,0.8,NA,NA
Joe Hamilton,85.1,4.1,2.9,2.9,2.2,0.2,0.2,NA
Whitey Skoog,84.2,4.1,3.6,2.9,1.9,1,0.7,NA
Bill Gabor,83.6,3.5,2.9,2.8,1.5,0.5,0,NA
Skeeter Swift,83.5,4.3,3.4,2.7,1.8,0,NA,NA
Speedy Claxton,83.1,4.2,3.7,3,2.8,1.2,0,-0.7
Otis Smith,82.8,3.6,3.5,3.3,2.5,-0.2,-0.4,NA
Charlie Bell,82.2,4,3.3,2.2,2,1.3,-0.1,-0.2
