Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Greivis Vásquez,,3.8,3.6,2.8,2.3,0.5,0,-0.3
Bob Harrison,90.7,3.5,3.3,2.9,2.2,0.9,0,-0.4
Devean George,89.6,4.2,3.4,2.7,2.6,0.7,0.3,-0.3
T.J. McConnell,89.0,3.8,3.8,2.9,1.9,NA,NA,NA
Eric Money,85.4,4.2,3.6,3.3,2.7,0.6,0.3,NA
Andre Roberson,85.3,4.2,3.4,2.2,2.1,0.8,NA,NA
Joe Hamilton,85.1,4.1,2.9,2.9,2.2,0.2,0.2,NA
Tyronn Lue,85.1,3.7,3.7,2.1,2,0.4,0.3,0.2
Whitey Skoog,84.2,4.1,3.6,2.9,1.9,1,0.7,NA
Devin Brown,84.1,3.7,3.5,2.4,1.7,1.4,0.1,-0.1
Bill Gabor,83.6,3.5,2.9,2.8,1.5,0.5,0,NA
