Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bill Willoughby,,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9
Corie Blount,87.2,2.6,2.5,1.8,1.7,1.2,0.9,0.8,0.7
Earl Cureton,85.6,2.7,2.6,2.1,2,1.2,1,0.8,0.7
Ryan Bowen,84.9,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.2
Joe Bryant,83.4,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0
Steve Kuberski,81.8,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2
Jared Jeffries,79.2,3.1,2.6,2.2,1.2,1.2,0.6,0.3,0.1
Darrell Arthur,78.8,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3
Brad Lohaus,78.5,3.3,2.7,2.7,1.8,1.5,0.9,0.9,0.1
Jud Buechler,78.3,2.3,1.9,1.8,1.5,1.2,1.2,0.5,0.4
Don Reid,78.3,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1
