Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Bill Willoughby,,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA,NA,NA,NA
Ryan Bowen,86.2,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2,0.1,NA,NA,NA,NA
Jared Jeffries,86.0,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3,NA,NA,NA
Brad Lohaus,83.5,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,NA,NA,NA
Joe Bryant,83.4,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0,NA,NA,NA,NA,NA,NA
Earl Cureton,82.6,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,0,-0.1,NA,NA
Brian Skinner,82.2,4.1,2.7,1.9,1.9,1.2,1.1,1.1,0.9,0.4,0.3,0.1,0,0,0
Damien Wilkins,82.2,2.8,1.9,1.9,1.7,1.5,1,1,0.4,0,-0.1,NA,NA,NA,NA
Steve Kuberski,81.6,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0,NA,NA,NA,NA,NA
Tony Massenburg,79.1,2.8,2.2,1.8,1.7,1.5,1.3,1.1,1,0.9,0.7,0.4,0.2,-0.1,NA
Darrell Arthur,78.6,3.8,2.3,1.7,1.7,1.1,0.9,0.7,0.3,0,NA,NA,NA,NA,NA
