,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,INA,ABA,,10,,0,,,,8,10,,,,,,,24
1968-69,24,TOT,ABA,,11,,1,,,,9,10,,,,,,,24
1968-69,24,NYA,ABA,,11,,0,,,,9,10,,,,,,,24
1968-69,24,KEN,ABA,,11,,1,,,,6,9,,,,,,,23
1969-70,25,TOT,ABA,,7,,1,,,,5,5,,,,,,,15
1969-70,25,KEN,ABA,,5,,0,,,,5,5,,,,,,,12
1969-70,25,INA,ABA,,7,,1,,,,3,5,,,,,,,15
Career,,,,,11,,1,,,,9,10,,,,,,,24
2 Seasons,,INA,ABA,,10,,1,,,,8,10,,,,,,,24
2 Seasons,,KEN,ABA,,11,,1,,,,6,9,,,,,,,23
1 Season,,NYA,ABA,,11,,0,,,,9,10,,,,,,,24
