Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,INA,ABA,PF,77,NA,2045,6.5,14.6,0.446,0,0,0,6.5,14.6,0.447,3.2,4.8,0.667,NA,NA,9.3,1.2,2.5,4.9,16.2
1968-69,24,TOT,ABA,PF,77,NA,1947,5.9,13.2,0.445,0,0.1,0.2,5.9,13.1,0.447,3.3,4.4,0.742,4.1,6.9,11,1.9,2.6,5.1,15.1
1968-69,24,NYA,ABA,PF,30,NA,726,6.6,13.8,0.477,0,0,NA,6.6,13.8,0.477,3.9,5.5,0.709,4,6.6,10.6,2.1,3.6,5.3,17.1
1968-69,24,KEN,ABA,PF,47,NA,1221,5.5,12.8,0.425,0,0.1,0.2,5.4,12.7,0.428,2.9,3.8,0.769,4.2,7,11.2,1.8,1.9,4.9,13.9
1969-70,25,TOT,ABA,PF,69,NA,819,5.5,14.4,0.385,0,0.2,0.2,5.5,14.2,0.388,2.5,3.8,0.655,4.1,7.3,11.4,2,3.6,6.2,13.6
1969-70,25,KEN,ABA,PF,43,NA,531,5.4,14,0.383,0,0.1,0,5.4,13.9,0.385,2.8,4.3,0.641,4.8,6.7,11.5,2.2,3.9,6.4,13.5
1969-70,25,INA,ABA,PF,26,NA,288,5.9,15.1,0.388,0.1,0.5,0.25,5.7,14.6,0.393,2,2.9,0.696,2.7,8.5,11.3,1.6,3.1,6,13.9
Career,NA,,ABA,,223,NA,4811,6.1,14,0.435,0,0.1,0.182,6.1,13.9,0.437,3.1,4.5,0.695,4.1,7,10.3,1.6,2.7,5.2,15.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,INA,ABA,,103,NA,2333,6.5,14.7,0.439,0,0.1,0.2,6.4,14.6,0.44,3,4.5,0.669,2.7,8.5,9.5,1.3,2.5,5,15.9
2 seasons,NA,KEN,ABA,,90,NA,1752,5.4,13.2,0.412,0,0.1,0.167,5.4,13,0.414,2.9,4,0.727,4.4,6.9,11.3,2,2.5,5.4,13.8
1 season,NA,NYA,ABA,,30,NA,726,6.6,13.8,0.477,0,0,NA,6.6,13.8,0.477,3.9,5.5,0.709,4,6.6,10.6,2.1,3.6,5.3,17.1
