Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ollie Darden,,3.7,3.6,0.3,NA,NA
Dike Eddleman,92.1,3.8,3.7,-0.1,-0.1,NA
Andy Duncan,87.8,3.7,3.4,-0.3,NA,NA
Michael Ansley,81.4,3.3,3.1,0,NA,NA
Sonny Dove,77.5,4.3,3,0.4,0,-0.5
Bill Closs,75.7,4.4,2.8,0,NA,NA
Leonard Gray,75.7,4.1,4,1.8,NA,NA
Sam Smith,71.7,4.6,3.3,1.4,0.2,NA
Paul Graham,71.4,3.6,1.9,0.2,NA,NA
Jaylen Brown,70.8,4.5,3,1.5,NA,NA
Lee Shaffer,70.7,5,3.8,-0.6,NA,NA
