Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,INA,ABA,PF,77,2045,14,0.485,0.001,0.325,NA,NA,11.6,5.1,12.8,19.9,NA,2.1,1.6,3.7,0.088
1968-69,24,TOT,ABA,PF,77,1947,14.6,0.497,0.007,0.336,NA,NA,13.4,7.9,14.4,18.1,NA,1.5,2.1,3.6,0.09
1968-69,24,NYA,ABA,PF,30,726,15.2,0.525,0,0.394,NA,NA,13.2,8.9,18,20.1,NA,1.1,0.5,1.5,0.102
1968-69,24,KEN,ABA,PF,47,1221,14.3,0.478,0.011,0.299,NA,NA,13.5,7.3,11.8,16.9,NA,0.4,1.7,2.1,0.083
1969-70,25,TOT,ABA,PF,69,819,8.9,0.424,0.015,0.266,NA,NA,14,7.7,18.3,20.2,NA,-0.8,1.1,0.3,0.018
1969-70,25,KEN,ABA,PF,43,531,9,0.425,0.005,0.311,NA,NA,14,8.5,19.6,19.9,NA,-0.5,0.8,0.3,0.026
1969-70,25,INA,ABA,PF,26,288,8.8,0.423,0.033,0.19,NA,NA,14.1,6.2,16,20.7,NA,-0.3,0.3,0,0.003
Career,NA,,ABA,,223,4811,13.4,0.479,0.006,0.319,NA,NA,12.7,6.7,14.4,19.2,NA,2.8,4.9,7.7,0.077
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,INA,ABA,,103,2333,13.4,0.478,0.005,0.308,NA,NA,11.9,5.2,13.2,20,NA,1.8,1.9,3.8,0.077
2 seasons,NA,KEN,ABA,,90,1752,12.7,0.461,0.009,0.303,NA,NA,13.7,7.7,14.5,17.8,NA,-0.1,2.5,2.4,0.065
1 season,NA,NYA,ABA,,30,726,15.2,0.525,0,0.394,NA,NA,13.2,8.9,18,20.1,NA,1.1,0.5,1.5,0.102
