Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Darrun Hilliard,,0.5,0,-0.2
Rich Rinaldi,55.3,0.4,0,-0.2
Tyler Ulis,52.4,0.7,0,-0.2
Troy Hudson,48.3,0.5,0,-0.2
Joe Young,48.1,0.5,-0.1,-0.1
Rick Brunson,45.3,0.6,-0.1,-0.2
Paul McCracken,43.0,0.5,0,0
John Lucas III,40.0,0.6,0,-0.1
DeAndre Liggins,35.0,0.6,0,0
Bryan Warrick,33.9,0.5,0.1,0
Ron Baker,30.2,0.5,-0.1,-0.1
