Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Luis Scola,,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8
Ryan Anderson,93.5,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3
Josh Smith,93.4,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,1.1
Udonis Haslem,93.2,9.2,7,6,5.7,5.1,4.8,3.5,3.2,2.5,0.9
Jeff Foster,92.7,8.3,6.5,5.7,5.4,4.5,4.2,4.2,2.7,1.6,0.6
Orlando Woolridge,92.7,9,6.8,5.6,5.3,4.8,3.9,3.6,3.3,1.8,0.8
Thaddeus Young,90.8,7.4,6.3,6.2,5.5,4.6,4.5,4.1,3.5,3.1,2.1
Robert Horry,89.7,6.9,6.6,5.9,5.7,4.9,4.2,3.6,2.9,2.6,1.7
Metta World Peace,89.1,8,7.2,6.7,5.5,4.7,3.7,2.7,2.3,1.9,1.3
Keith Van Horn,89.1,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,NA
Eddie Johnson,88.9,7.4,6.5,5.6,5.5,5.3,4.3,4,3.9,3,1.8
