Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23,STL,NBA,SG,32,NA,221,4.4,14.2,0.31,NA,NA,NA,4.4,14.2,0.31,2.1,3.1,0.684,NA,NA,5.9,7.5,NA,5.7,10.9
1967-68,24,SEA,NBA,SG,76,NA,1794,5.6,14,0.396,NA,NA,NA,5.6,14,0.396,3.7,4.7,0.79,NA,NA,7.1,5.6,NA,4.6,14.8
1968-69,25,SEA,NBA,SG,76,NA,1124,4.7,11.9,0.392,NA,NA,NA,4.7,11.9,0.392,3.1,4.4,0.701,NA,NA,6.8,6.1,NA,5.7,12.4
1969-70,26,KEN,ABA,SG,40,NA,493,4,10.7,0.374,0.5,1.4,0.368,3.5,9.3,0.375,3,3.4,0.891,1.8,3.3,5,6.4,4.3,5.8,11.5
Career,NA,,TOT,,224,NA,3632,5,12.9,0.387,0.5,1.4,0.368,4.9,12.7,0.387,3.3,4.3,0.768,1.8,3.3,6.7,6,4.3,5.2,13.4
,NA,,NBA,,184,NA,3139,5.2,13.3,0.389,NA,NA,NA,5.2,13.3,0.389,3.4,4.5,0.753,NA,NA,6.9,5.9,NA,5.1,13.7
,NA,,ABA,,40,NA,493,4,10.7,0.374,0.5,1.4,0.368,3.5,9.3,0.375,3,3.4,0.891,1.8,3.3,5,6.4,4.3,5.8,11.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,152,NA,2918,5.2,13.2,0.395,NA,NA,NA,5.2,13.2,0.395,3.5,4.6,0.757,NA,NA,7,5.8,NA,5.1,13.9
1 season,NA,KEN,ABA,,40,NA,493,4,10.7,0.374,0.5,1.4,0.368,3.5,9.3,0.375,3,3.4,0.891,1.8,3.3,5,6.4,4.3,5.8,11.5
1 season,NA,STL,NBA,,32,NA,221,4.4,14.2,0.31,NA,NA,NA,4.4,14.2,0.31,2.1,3.1,0.684,NA,NA,5.9,7.5,NA,5.7,10.9
