,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23,STL,NBA,,4,,,,,,2,3,,,,,,,10
1967-68,24,SEA,NBA,,12,,,,,,10,10,,,,12,,,27
1968-69,25,SEA,NBA,,8,,,,,,5,7,,,,,,,17
1969-70,26,KEN,ABA,,7,,1,,,,3,4,,,,,,,15
Career,,,TOT,,12,,,,,,10,10,,,,,,,27
,,,NBA,,12,,,,,,10,10,,,,,,,27
,,,ABA,,7,,1,,,,3,4,,,,,,,15
,,,,,,,,,,,,,,,,,,,
2 Seasons,,SEA,NBA,,12,,,,,,10,10,,,,,,,27
1 Season,,KEN,ABA,,7,,1,,,,3,4,,,,,,,15
1 Season,,STL,NBA,,4,,,,,,2,3,,,,,,,10
