Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tommy Kron,,1.3,0.8,0.8,-0.3,NA,NA,NA
Dante Exum,80.7,1.2,1,0.7,-0.1,NA,NA,NA
Chris Smith,80.1,1.2,1.1,0.9,NA,NA,NA,NA
Cameron Payne,78.0,1.4,0.8,0.5,-0.3,NA,NA,NA
Steve Harris,74.5,1.3,1.2,0.8,0,-0.1,NA,NA
Richie Frahm,71.9,1.5,1,0.5,-0.2,NA,NA,NA
MarShon Brooks,69.4,1.3,0.8,0.7,0.4,0.1,NA,NA
Steve Alford,68.6,1.4,0.9,0.6,0.3,NA,NA,NA
Steve Henson,64.0,1.2,1.1,1,0.2,0.1,0,0
Corky Devlin,63.8,1.8,1.2,0.8,NA,NA,NA,NA
Salim Stoudamire,63.6,1.2,0.8,0.3,NA,NA,NA,NA
