Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tommy Kron,,1.3,0.8,0.8,-0.3
Dante Exum,80.7,1.2,1,0.7,-0.1
Chris Smith,80.1,1.2,1.1,0.9,NA
Patty Mills,79.7,1.5,0.9,0.7,0
Steve Harris,78.3,1.3,1.2,0.8,0
Cameron Payne,78.0,1.4,0.8,0.5,-0.3
Antoine Wright,73.9,1.4,1.2,0.8,-0.5
MarShon Brooks,72.9,1.3,0.8,0.7,0.4
Richie Frahm,71.9,1.5,1,0.5,-0.2
Michael Carter-Williams,70.2,1.3,1.2,0.8,0.2
Sergio Rodríguez,70.2,1.7,1.2,0.9,-0.2
