Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23,STL,NBA,SG,32,NA,221,27,87,0.31,NA,NA,NA,27,87,0.31,0.31,13,19,0.684,NA,NA,36,46,NA,35,67
1967-68,24,SEA,NBA,SG,76,NA,1794,277,699,0.396,NA,NA,NA,277,699,0.396,0.396,184,233,0.79,NA,NA,355,281,NA,231,738
1968-69,25,SEA,NBA,SG,76,NA,1124,146,372,0.392,NA,NA,NA,146,372,0.392,0.392,96,137,0.701,NA,NA,212,191,NA,179,388
1969-70,26,KEN,ABA,SG,40,NA,493,55,147,0.374,7,19,0.368,48,128,0.375,0.398,41,46,0.891,24,45,69,87,59,80,158
Career,NA,,TOT,,224,NA,3632,505,1305,0.387,7,19,0.368,498,1286,0.387,0.39,334,435,0.768,24,45,672,605,59,525,1351
,NA,,NBA,,184,NA,3139,450,1158,0.389,NA,NA,NA,450,1158,0.389,0.389,293,389,0.753,NA,NA,603,518,NA,445,1193
,NA,,ABA,,40,NA,493,55,147,0.374,7,19,0.368,48,128,0.375,0.398,41,46,0.891,24,45,69,87,59,80,158
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,152,NA,2918,423,1071,0.395,NA,NA,NA,423,1071,0.395,0.395,280,370,0.757,NA,NA,567,472,NA,410,1126
1 season,NA,KEN,ABA,,40,NA,493,55,147,0.374,7,19,0.368,48,128,0.375,0.398,41,46,0.891,24,45,69,87,59,80,158
1 season,NA,STL,NBA,,32,NA,221,27,87,0.31,NA,NA,NA,27,87,0.31,0.31,13,19,0.684,NA,NA,36,46,NA,35,67
