Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1966-67,23,STL,NBA,SG,32,221,8.8,0.351,NA,0.218,NA,NA,NA,26.5,NA,NA,NA,-0.5,0.2,-0.3,-0.06
1967-68,24,SEA,NBA,SG,76,1794,12.6,0.46,NA,0.333,NA,NA,NA,19.6,NA,NA,NA,0.2,1,1.3,0.034
1968-69,25,SEA,NBA,SG,76,1124,11.6,0.449,NA,0.368,NA,NA,NA,22.3,NA,NA,NA,0.1,0.7,0.8,0.036
1969-70,26,KEN,ABA,SG,40,493,8.1,0.472,0.129,0.313,NA,NA,6.1,22.9,26.1,16.7,NA,0.1,0.7,0.8,0.08
Career,NA,,TOT,,224,3632,11.4,0.451,0.015,0.333,NA,NA,6.1,21.3,26.1,16.7,NA,-0.1,2.7,2.6,0.035
,NA,,NBA,,184,3139,12,0.449,NA,0.336,NA,NA,NA,21,NA,NA,NA,-0.2,2,1.8,0.028
,NA,,ABA,,40,493,8.1,0.472,0.129,0.313,NA,NA,6.1,22.9,26.1,16.7,NA,0.1,0.7,0.8,0.08
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,152,2918,12.2,0.456,NA,0.345,NA,NA,NA,20.6,NA,NA,NA,0.3,1.8,2.1,0.035
1 season,NA,KEN,ABA,,40,493,8.1,0.472,0.129,0.313,NA,NA,6.1,22.9,26.1,16.7,NA,0.1,0.7,0.8,0.08
1 season,NA,STL,NBA,,32,221,8.8,0.351,NA,0.218,NA,NA,NA,26.5,NA,NA,NA,-0.5,0.2,-0.3,-0.06
