Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Phil Ford,,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA,NA
Ron Williams,90.0,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA
Anthony Parker,86.4,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA
Vincent Askew,85.5,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA
Larry Brown,85.2,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA,NA
Fred Hoiberg,84.9,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0
Alvin Williams,84.5,5.5,5.4,5.2,2.1,1.3,1.2,1,-0.1,-0.1,NA
Andrew Toney,83.6,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA
Delonte West,83.1,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA
Lewis Lloyd,82.7,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA
Eric Murdock,81.4,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA
