Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Phil Ford,,6.1,5.7,5.2,2.9,2.4,0.9,0.2
Craig Hodges,91.9,6,5.3,4.3,2.9,2.4,0.8,0.5
Ron Williams,89.8,6.1,5.8,4.4,2.6,2.6,1.9,0
Bryant Stith,89.5,6.8,5.6,5.2,3,1.6,0.5,-0.3
Lester Conner,89.2,6.2,5.9,3.7,2.8,2.7,0.7,0.5
Bonzi Wells,89.0,6,5.9,4,3.1,3.1,0.9,0.1
Luke Ridnour,88.2,6.2,5.4,4.4,3.4,2.3,1.2,0.9
Quentin Richardson,87.4,5.8,5.6,3.5,3,2.4,1,0.7
Dee Brown,86.0,6.8,6.4,6.4,3.5,2.4,1,0.3
D.J. Augustin,85.5,6.2,6.2,5.1,3.4,2.8,2.8,0.5
Lou Williams,85.5,6.1,5.2,5.1,4.4,3.4,1.1,-0.1
