Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Arthur Becker,,9.6,5.4,4.6,4.4,3.7,0.3,NA,NA
Doug Moe,90.0,9.4,5.2,4.8,4.3,1.8,NA,NA,NA
Reggie King,79.9,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
Tiago Splitter,79.6,8.2,4.6,4.3,4,2.3,1.7,0.1,NA
Chandler Parsons,79.1,7.6,7,5.5,4.3,3.4,1.1,0.2,0
Otto Porter,78.0,9.4,8.1,5.6,3.2,2.7,0,NA,NA
Gene Banks,77.8,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA
Mel Hutchins,77.2,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA
Roy Hinson,76.8,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1
Warren Davis,76.7,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA
Fred Schaus,76.1,8.5,8.4,6.8,4,3.7,NA,NA,NA
