Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,26,HSM,ABA,PF,76,2689,20.4,0.523,0.01,0.301,NA,NA,11.5,5.8,NA,NA,10.1,21.4,NA,6.2,3.4,9.6,0.171
1968-69,27,HSM,ABA,SF,78,2429,14.2,0.526,0.003,0.27,NA,NA,10.4,6.3,NA,NA,13.6,17.1,NA,3.3,2.1,5.4,0.106
1969-70,28,INA,ABA,PF,82,1504,16.7,0.558,0.002,0.231,NA,NA,11.4,4.4,NA,NA,8.5,18.1,NA,3.2,1.4,4.6,0.147
1970-71,29,TOT,ABA,PF,80,1643,16.7,0.543,0.011,0.211,NA,NA,11.4,4.5,NA,NA,8.7,19.6,NA,2.8,1.6,4.4,0.129
1970-71,29,INA,ABA,PF,51,840,15.3,0.541,0.016,0.184,NA,NA,11.7,3.7,NA,NA,9.2,20,NA,1.4,0.9,2.3,0.13
1970-71,29,DNR,ABA,PF,29,803,18.2,0.546,0.005,0.238,NA,NA,11.1,5.4,NA,NA,8.2,19.1,NA,1.4,0.7,2.1,0.128
1971-72,30,DNR,ABA,PF,84,2193,13.2,0.498,0.003,0.204,6.7,12.9,9.7,7.2,NA,NA,11.3,20,NA,1.1,2.7,3.7,0.082
1972-73,31,TOT,ABA,PF,14,96,16,0.655,0.036,0.393,5.2,13.9,9.5,1.6,NA,NA,13.2,15.8,NA,0.3,0,0.3,0.173
1972-73,31,NYA,ABA,PF,8,46,17.8,0.632,0.063,0.313,2.3,10.7,6.6,3.4,NA,NA,5.2,17.1,NA,0.2,0,0.2,0.162
1972-73,31,DLC,ABA,PF,6,50,14.3,0.683,0,0.5,7.8,16.8,12.2,0,NA,NA,21.5,14.6,NA,0.2,0,0.2,0.183
Career,NA,,ABA,,414,10554,16.3,0.527,0.006,0.25,6.6,12.9,10.8,5.8,NA,NA,10.7,19.3,NA,16.8,11.3,28.1,0.128
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,HSM,ABA,,154,5118,17.5,0.525,0.007,0.288,NA,NA,11,6,NA,NA,11.6,19.3,NA,9.5,5.5,15,0.141
2 seasons,NA,INA,ABA,,133,2344,16.2,0.552,0.007,0.213,NA,NA,11.5,4.1,NA,NA,8.8,18.8,NA,4.5,2.3,6.9,0.14
2 seasons,NA,DNR,ABA,,113,2996,14.6,0.511,0.004,0.214,6.7,12.9,10.1,6.7,NA,NA,10.4,19.8,NA,2.5,3.4,5.9,0.094
1 season,NA,NYA,ABA,,8,46,17.8,0.632,0.063,0.313,2.3,10.7,6.6,3.4,NA,NA,5.2,17.1,NA,0.2,0,0.2,0.162
1 season,NA,DLC,ABA,,6,50,14.3,0.683,0,0.5,7.8,16.8,12.2,0,NA,NA,21.5,14.6,NA,0.2,0,0.2,0.183
