Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Arthur Becker,,9.6,5.4,4.6,4.4,3.7,0.3
Stacey Augmon,91.5,9.7,5.6,5.1,3.7,3.7,1.5
Doug Moe,90.0,9.4,5.2,4.8,4.3,1.8,NA
Josh Smith,90.0,9.3,5.8,4.9,4.4,3.6,2.4
Jerome Williams,87.9,7.6,5,4.8,4.5,3.5,0.2
Mike Dunleavy,87.3,8.5,5.2,5.1,4.9,4.2,1.5
James Posey,86.8,10,5.4,4.3,3.8,2.7,2.3
Kevin Willis,85.3,8.6,4.7,4.7,4.4,4.2,2.7
M.L. Carr,84.6,7.9,5.9,5.2,4.5,4.5,1.1
Danny Manning,84.6,9.8,7.9,5.3,5.2,3.5,0.7
Detlef Schrempf,84.6,9,8.1,4.4,4,3.6,0.8
