,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,26,HSM,ABA,,16,,1,,,,10,12,,,,,,,,,37
1968-69,27,HSM,ABA,,13,,0,,,,10,11,,,,,,,,,31
1969-70,28,INA,ABA,,11,,0,,,,7,8,,,,,,,,,27
1970-71,29,TOT,ABA,,13,,2,,,,6,7,,,,,,,,,31
1970-71,29,INA,ABA,,13,,2,,,,6,7,,,,,,,,,31
1970-71,29,DNR,ABA,,12,,1,,,,6,7,,,,,,,,,31
1971-72,30,DNR,ABA,,11,,0,,,,8,8,,,,,,,,,25
1972-73,31,TOT,ABA,,5,,0,,,,4,4,,,,,,,,,12
1972-73,31,NYA,ABA,,2,,0,,,,2,2,,,,,,,,,5
1972-73,31,DLC,ABA,,5,,0,,,,4,4,,,,,,,,,12
Career,,,,,16,,2,,,,10,12,,,,,,,,,37
2 Seasons,,HSM,ABA,,16,,1,,,,10,12,,,,,,,,,37
2 Seasons,,INA,ABA,,13,,2,,,,7,8,,,,,,,,,31
2 Seasons,,DNR,ABA,,12,,1,,,,8,8,,,,,,,,,31
1 Season,,NYA,ABA,,2,,0,,,,2,2,,,,,,,,,5
1 Season,,DLC,ABA,,5,,0,,,,4,4,,,,,,,,,12
