,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2008-09,20,CHA,NBA,PF,31,182,.362,13.3,.971,.174,.159,.159,.478,.029,.373,.417,.364,.273,.394,.000,.720,.058,3,,.000,,0,0
2009-10,21,CHA,NBA,C,6,30,.500,8.4,1.000,.400,.200,.100,.300,.000,.500,1.000,.000,.000,.333,,.800,.100,1,,,,0,0
2010-11,22,TOT,NBA,C,34,340,.444,15.5,.744,.233,.068,.068,.376,.256,.475,.677,.556,.222,.380,.353,.660,.090,9,1.000,.059,1.000,0,0
2010-11,22,DAL,NBA,C,10,75,.375,14.8,.781,.125,.125,.219,.313,.219,.360,.500,.500,.286,.300,.429,.556,.031,0,1.000,.286,1.000,0,0
2010-11,22,TOR,NBA,C,24,265,.465,15.7,.733,.267,.050,.020,.396,.267,.514,.704,.600,.000,.400,.333,.684,.109,9,1.000,.000,,0,0
2013-14,25,NOP,NBA,C,56,951,.546,6.8,.996,.494,.197,.181,.129,.004,.548,.642,.388,.467,.531,.000,.706,.213,46,,.000,,0,0
2014-15,26,NOP,NBA,C,68,957,.550,7.2,1.000,.340,.353,.198,.106,.000,.550,.616,.552,.508,.429,,.613,.088,28,,,,0,0
2015-16,27,NOP,NBA,C,59,861,.476,9.4,.997,.283,.257,.108,.346,.003,.478,.674,.346,.324,.468,.000,.767,.098,27,,.000,,0,0
2016-17,28,NOP,NBA,C,39,584,.500,9.0,.978,.348,.253,.107,.270,.022,.511,.710,.378,.579,.354,.000,.820,.129,20,,.000,,0,0
Career,,,NBA,,293,3905,.503,9.1,.967,.337,.244,.143,.242,.033,.510,.651,.438,.440,.429,.286,.708,.119,134,1.000,.048,1.000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NOP,NBA,,222,3353,.519,8.1,.994,.360,.272,.152,.209,.006,.522,.653,.440,.466,.446,.000,.710,.127,121,,.000,,0,0
2 seasons,,CHA,NBA,,37,212,.380,12.7,.975,.203,.165,.152,.456,.025,.390,.563,.308,.250,.389,.000,.733,.063,4,,.000,,0,0
1 season,,TOR,NBA,,24,265,.465,15.7,.733,.267,.050,.020,.396,.267,.514,.704,.600,.000,.400,.333,.684,.109,9,1.000,.000,,0,0
1 season,,DAL,NBA,,10,75,.375,14.8,.781,.125,.125,.219,.313,.219,.360,.500,.500,.286,.300,.429,.556,.031,0,1.000,.286,1.000,0,0
