Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Alexis Ajinça,,3.2,2.1,1,1,0.4,0,-0.1
Željko Rebrača,85.7,3.3,2.4,1.3,0.7,0.5,NA,NA
Stanley Roberts,84.3,3.2,2.1,1.8,0.7,0.5,-0.1,-0.1
Tarik Black,81.2,3.1,2.4,1.5,0.7,NA,NA,NA
Salah Mejri,80.4,3,2.7,1.3,1.1,NA,NA,NA
Cole Aldrich,79.1,3.5,2.2,1.3,1.2,0.6,0.6,0.2
Chris Dudley,78.3,3.4,2.2,2.2,1,0.2,0.1,0
Travis Knight,77.3,3.3,3,1.1,0.6,0.2,-0.1,-0.3
Calvin Booth,75.5,2.2,2.1,1,0.8,0.5,0.4,0.1
Bill Wennington,75.4,3.5,2.1,1.3,1.2,0.9,0.5,0.4
Jim McIlvaine,72.8,3,1.9,1.8,1.5,0.8,0.3,0.1
