Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Anthony Carter,,3.8,1.8,1.7,1.4,0.9,0.6,0.5,0.2,0.2,0,-0.1,-0.2,-0.3
Jerry Reynolds,84.0,3.7,1.6,1.3,1.3,1,0.9,0.6,0,NA,NA,NA,NA,NA
Matthew Dellavedova,78.4,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
Gary Neal,78.0,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA,NA,NA,NA,NA
Rick Adelman,77.6,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA,NA,NA,NA,NA
Ron Lee,77.2,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA,NA,NA,NA
Jordan Farmar,75.4,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0,NA,NA,NA
Al Ferrari,74.6,3.3,1.9,1.4,1.4,0.9,0,NA,NA,NA,NA,NA,NA,NA
Kent Bazemore,74.3,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA,NA,NA,NA
Wes Matthews,74.0,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,NA,NA,NA,NA
Ronald Murray,73.6,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3,NA,NA,NA,NA,NA
