Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ron Behagen,,4.3,2.4,2.2,2,1.8,0.2,0.1,NA
Aaron James,92.0,4.3,2.9,2.2,2.1,1.7,NA,NA,NA
Mark Landsberger,87.8,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
Mike Muscala,87.4,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Scott Padgett,86.2,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Tyrus Thomas,86.1,4.6,2.6,2.4,2.2,1.8,0.1,-0.2,-0.6
Lawrence Funderburke,84.7,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
Al Tucker,83.9,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
Danny Vranes,83.7,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Don Ford,82.5,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
T.J. Warren,82.5,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
