Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ron Behagen,,4.3,2.4,2.2,2,1.8,0.2,0.1
Chucky Brown,94.6,4.2,2.2,2.2,2.1,1.6,0.3,0
Aaron James,92.0,4.3,2.9,2.2,2.1,1.7,NA,NA
Mark Landsberger,87.8,3.4,2.2,2.2,1.9,1.7,0.4,0.3
Mike Muscala,87.4,3.4,2.5,2.4,1.9,1.6,0.2,NA
Scott Padgett,86.6,3.5,2.8,2.5,1.9,1.8,0.4,0.1
Brian Skinner,86.4,4.1,2.7,1.9,1.9,0.9,0.3,0.1
Jon Leuer,85.7,4.5,2.7,2,1.4,1.3,0.2,0.1
Tyrus Thomas,85.3,4.6,2.6,2.4,2.2,1.8,-0.2,-0.6
Lawrence Funderburke,84.7,3.7,3.1,2.1,1.9,1.6,0.5,0.1
Wally Walker,84.6,3.5,2.1,2,1.9,1.8,0.9,0.1
