Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1950-51,22,TOT,NBA,SG,66,NA,NA,0.411,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,22,BLB,NBA,SG,52,NA,NA,0.42,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,22,FTW,NBA,SG,14,NA,NA,0.373,0.356,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953-54,25,FTW,NBA,SG,49,528,7.9,0.336,0.308,NA,NA,NA,NA,NA,-1.2,0.5,-0.7,-0.065
1954-55,26,TOT,NBA,SG,66,1590,NA,0.399,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,26,BLB,NBA,SG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,26,PHW,NBA,SG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Career,NA,,NBA,,181,2118,7.9,0.398,0.322,NA,NA,NA,NA,NA,-1.2,0.5,-0.7,-0.016
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,FTW,NBA,,63,528,7.9,0.353,0.33,NA,NA,NA,NA,NA,-1.2,0.5,-0.7,-0.065
2 seasons,NA,BLB,NBA,,52,NA,NA,0.42,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHW,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
