Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Vitaly Potapenko,,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1
Meyers Leonard,85.8,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA,NA
Joel Anthony,85.2,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA
Jim Barnes,85.1,3.4,2.9,2.4,2.1,2.1,1.1,0.3,NA,NA,NA,NA
Mike Brown,84.8,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4
Duane Causwell,84.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0
Luc Longley,84.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA
Bill Wennington,82.9,3.5,2.8,2.3,2.1,2,1.3,1.2,0.9,0.8,0.5,0.4
Nat Clifton,82.5,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA,NA
Hank Finkel,82.3,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA,NA
Leon Douglas,80.6,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA,NA
