,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,21,TOR,NBA,PF,6,69,,,2%,83%,15%,+1.6,+9.8,1,1,5,1,4,2,3,0,1
2007-08,22,TOR,NBA,PF,3,2,,,,,100%,-33.3,-27.9,0,0,0,0,0,0,0,0,0
2012-13,27,BRK,NBA,PF,7,83,,,,93%,7%,-13.6,-20.0,0,0,4,1,4,2,3,1,2
2014-15,29,WAS,NBA,PF,1,5,,,,100%,,-36.4,-41.0,0,0,0,0,0,0,0,0,0
2015-16,30,ATL,NBA,PF,4,56,,,,47%,53%,+17.0,+20.9,1,1,3,0,2,0,10,0,0
2016-17,31,ATL,NBA,PF,1,3,,,,100%,,+1.8,+2.6,0,0,0,0,0,0,0,0,0
Career,,,NBA,,22,218,,,1%,77%,22%,-1.4,-0.3,2,2,12,2,10,4,16,1,3
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,TOR,NBA,,9,71,,,2%,80%,18%,+0.6,+8.7,1,1,5,1,4,2,3,0,1
1 season,,BRK,NBA,,7,83,,,,93%,7%,-13.6,-20.0,0,0,4,1,4,2,3,1,2
2 seasons,,ATL,NBA,,5,59,,,,50%,50%,+16.2,+19.9,1,1,3,0,2,0,10,0,0
1 season,,WAS,NBA,,1,5,,,,100%,,-36.4,-41.0,0,0,0,0,0,0,0,0,0
